sagoNo,sido,sigungu,dong,addr,sagoLat,sagoLon,sagoDate,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,no
20210067,서울특별시,성북구,보문동7가,서울특별시 성북구 보문동7가 105-1,37.5799427138264,127.022660311859,20210825,1.00,1.00,1.50,,통신박스 하부 장기간 침하로 인한 동공 발생,0,0,0,복구완료,08.26. 01:10분 복구완료,0,20210826,00010101,1
20210081,서울특별시,성북구,장위동,서울특별시 성북구 장위동 124-29,37.61784,127.0561,20210821,0.90,1.80,1.70,,건축공사장 차수 불량으로 인한 지하수위 침하,0,1,0,복구완료,사고부분 토사 되메우기 등 응급복구,0,20210821,00010101,1
20210122,서울특별시,강서구,염창동,서울특별시 강서구 염창동 284-76 앞,37.5482054089839,126.874950018935,20210904,2.00,2.00,1.50,,빗물받이 연결관 접합불량으로 인한 토사유출(건축공사장 신설 하수관로와 접합부 하자),0,0,0,복구완료,복구방법,0,20210905,00010101,1
20220005,서울특별시,은평구,수색동,서울특별시 은평구 수색동 367-7일대,37.5832648909534,126.895054721532,20220110,2.60,2.40,1.20,,"○ 사고장소 하단에 위치한 사각형거는 벽체 및 슬라브 노후로 인해 콘크리트 열화 및 철근 부식이 상당히 진행된 상태로, 중차량이 진입하여 무게를 견디지 못하고 도로함몰 발생
○ 사고 위치는 수색6재개발구역과 수색2재개발구역(시장정비사업)의 사이 골목으로 수색2구역에 포함",0,0,1,복구완료,"○ 하수관로 정비공사
 - D=600mm, L=135m 하수관 매설 예정",0,20220218,00010101,1
20220008,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동 마곡동 775-5,37.56653355805,126.836780683297,20220123,1.50,0.50,3.00,,이랜드글로벌R&amp;D센터 (마곡동 780 일대) 건축현장 지하가시설공사로 인한 지반침하,0,1,0,복구완료,복구완료,0,20220128,00010101,1
20220009,서울특별시,종로구,,서울특별시 종로구 종로5가 4-1앞 도로,37.5713749245706,127.006040216231,20220123,3.00,2.00,1.00,기타,"    - 관    종 : 강관 구경 900mm(1970년 부설) 추정

    - 누수원인 : 강관 용접부 파손 추정
",0,0,0,복구완료,"  ○ 복구현황

    - 12:13 종로소방서 현장도착

    - 12:51 북부도로사업소 현장도착

    - 13:00 중부수도사업소 현장도착 및 안전시설 설치

    - 15:00 작업반 현장도착, 양수작업 등 복구작업 시작

    - 24(월) 05:30 : 임시포장 완료 및 개통
",0,20220124,00010101,1
20220022,서울특별시,동대문구,장안동,서울특별시 동대문구 장안동 366-6,37.5698846562041,127.070549356702,20220623,2.00,2.00,1.50,기타,"민간아파트 굴착현장 공사 중 토사유실 등으로 사고 발생 추정되나, 관계부서 합동조사를 통해 정확한 원인 조사 필요",0,3,0,복구완료,하수관로 임시연결. 보도 임시복구,0,20220624,00010101,1
20220024,서울특별시,성북구,장위동,서울특별시 성북구 장위동 231-226,37.6127571923186,127.037748588487,20220623,3.00,1.00,1.00,,노후 하수관로 이음부 이격으로 토사유출로 인한 도로함몰 발생,0,1,0,복구완료,하수관로 정비 및 포장 복구 완료,0,20220624,00010101,1
20220025,서울특별시,동대문구,장안동,서울특별시 동대문구 장안동 371-10,37.5716020876339,127.070926000921,20220624,1.20,1.20,1.50,기타,원인조사 필요,0,0,0,복구완료,토사 되메우기 및 다짐 후 보도블록 복구 완료,0,20220624,00010101,1
20220026,서울특별시,관악구,봉천동,서울특별시 관악구 봉천동 180-329,37.4701757823384,126.967056182014,20220629,0.80,1.00,3.50,,지반하부 지하수로 인한 토사 유출로 도로 침하 발생 추정 ,0,0,0,임시복구,기동반에서 골재 채움 및 콘크리트 타설 완료(안전조치 완료),0,20220629,00010101,1
20220027,서울특별시,송파구,가락동,서울특별시 송파구 가락동 282,37.4963870265419,127.110730647165,20220701,2.00,4.00,1.00,,집중호우에 따른 하수박스 파손 부위의 토사 유실에 의한 자전거도로 함몰,0,1,0,복구완료,지반침하구간 굴착하여  하수박스 확인 후 콘크리트로 임시복구 및 안전조치 완료,0,20220701,00010101,1
20220028,서울특별시,종로구,,서울특별시 종로구 혜화로 74 경신고등학교,37.5922022663657,126.999531005507,20220629,6.00,5.00,3.00,,,0,0,0,복구완료,"기존 하수관로 폐쇄 후 하수관로 신설(유로 변경),
우수처리 및 현장 토사 정리, 수중펌프 추가 설치 등 

노후된 우수관 정비 후 관 개량 및 신설,
도로 아스팔트 포장 완료",0,20220718,00010101,1
20220031,서울특별시,영등포구,여의도동,서울특별시 영등포구 여의도동 23(IFC몰),37.5249785804442,126.925298305571,20220706,0.40,0.40,2.50,,지반침하 주변 지하매설물 이상으로 추정,0,0,0,복구완료,2022년 관내보도정비공사(연간계약)업체를 통해 복구 완료,0,20220706,00010101,1
20220036,서울특별시,강동구,천호동,서울특별시 강동구 천호동 467-8,37.5420827620416,127.12063334685,20220710,1.20,1.30,1.50,,"공공하수관[D=600mm, 흉관, 매설일자(2021년도)]에 접합된 개인 배수시설(D=300mm)의 연결관이 접합불량으로 도로함몰이 발생된 것으로 확인.",0,0,0,복구완료,가정하수관 파손 복구 및 정비완료(치수과),0,20220710,00010101,1
20220085,서울특별시,영등포구,대림동,서울특별시 영등포구 대림동 1116-37,37.4885961499795,126.897396510514,20220809,1.50,2.50,2.00,,원인미상으로 파악 중,0,0,0,복구완료,「2022년 포장도로 유지보수공사(연간계약)」를 통해 복구 중,0,20220810,00010101,1
20220087,서울특별시,동작구,상도동,서울특별시 동작구 상도동 368-6,37.5044489430148,126.938942573289,20220809,6.00,1.50,1.50,,승강 편의시설(E/L) 공사 되메우기 다짐불량 추정(집중호우 발생),0,0,0,복구완료,되메우기 및 다짐 후 안전시설 설치,3000000,20220809,00010101,1
20220088,서울특별시,강남구,개포동,서울특별시 강남구 개포동 146-1[대모지하차도 개포1단지 양재대로(수서방향)],37.4796144627614,127.065304508567,20220809,1.50,1.50,2.50,,"집중호우로 공사장으로 하수관 월류 및 가시설 누수(2개소 침하)
※ 강남구 강수량 24:00 ~ 01:00  기준 시간누적 26.5mm",0,0,2,복구완료,"도로함몰 구간 차량통제(1개차로) 및 긴급복구 시행
‘22.08.09. 15:00 지반침하 발생접수
&apos;22.08.09. 17:00 현장 출동 후 견인조치(당사 현장 공사보험으로 피해차량 수리 및 정비완료)
&apos;22.08.09. 18:00 긴급 임시복구완료(롯데건설)
&apos;22.08.10. 17:00 아스콘 복구완료
",0,20220810,00010101,1
20220114,서울특별시,관악구,봉천동,서울특별시 관악구 봉천동 673-120,37.4896163816425,126.932936400468,20220813,0.70,0.70,1.50,,개인 사유지 내 노후 하수관로(D450mm) 파손,0,0,0,복구완료,관악구 치수과 보수완료(22.08.14.),0,20220814,00010101,1
20220120,서울특별시,양천구,신월동,서울특별시 양천구 신월동 331-51 앞 도로,37.5221184558236,126.82639959425,20220808,6.00,4.00,1.50,기타,집중호우 발생에 따른 개인 배수설비 파손,0,0,0,복구완료,"파손된 배수설비 및 노후 공공하수도 복구 및 토사 되메우기, 아스콘 포장",350000000,20220818,00010101,1
20220131,서울특별시,마포구,도화동,서울특별시 마포구 도화동 39-9,37.5410008135324,126.947568529776,20221003,0.30,0.30,1.50,기타,통신관로(LG유플러스) 주변 침하,0,0,0,복구완료,개착,0,20221004,00010101,1
20220136,서울특별시,서초구,반포동,서울특별시 서초구 반포동 1192,37.5018994040439,126.988034814993,20221119,1.50,1.50,1.50,기타,노후 하수관로(D450mm) 파손으로 인한 지반침하 발생,0,0,0,복구완료,하수시설물 보수공사(연간단가) 지반침하 원인 조사 및 복구 완료,5000000,20221119,00010101,1
