saupNo,saupNm,proStage,maxDigDepth,no
20211568,도곡동 청년주택 신축공사[재협의],제출완료,19.92,3250
20211569,노량진동 72-31 OO 신축공사,제출완료,17.52,3251
20211570,화성시 병점  복합타운 상업9용지 신축공사,제출완료,19.85,3252
20211572,천안시 성정동 주상복합 신축공사,제출완료,23.99,3253
20211573,수원 권선지구 F1 업무 및 근린생활시설 신축공사,제출완료,19.31,3254
20211574,수원 권선지구 F2 업무 및 근린생활시설 신축공사,제출완료,17.55,3255
20211575,수원 망포 복합체육센터 신축공사,제출완료,12.81,3256
20211576,울산 신정동 1151-1번지 일원 공동주택 신축공사,정보수정중,14.50,3257
20211577,마곡 MICE 복합단지 CP3-2 특별계획구역 건설사업,제출완료,33.98,3258
20211578,대흥동(325-78) 의료시설 및 근생 신축공사,제출완료,27.24,3259
20211579,논현동 235-4외 1필지 업무시설 신축공사,제출완료,13.61,3260
20211580,고양시 덕양구 주교동(612-6일원) 오피스텔 신축공사,제출완료,24.91,3261
20211582,HM로지스 평택복합물류센터 개발사업 ,제출완료,14.23,3262
20211583,장항선개량 2단계(주포~신성)건설사업,제출완료,19.90,3263
20211584,SHENB 성수동 사옥 신축공사,제출완료,17.54,3264
20211585,이태원동 126-7 오피스텔 신축공사,사업 등록 완료,19.82,3265
20211586,화순전남대학교병원 개방형 의료혁신센터 건립공사,제출완료,18.91,3266
20211587,성동구 마장동 480-5번지 오피스텔 신축공사,제출완료,33.90,3267
20211588,대구시 수성구 대흥동 870-8 00빌딩 신축공사,제출완료,13.91,3268
20211589,천안시 서북구 성정동 1328 외1필지 근린생활시설 신축공사,제출완료,18.97,3269
20211590,경산시 진량읍 선화리 256 물류창고 신축공사,제출완료,16.79,3270
20211592,용인시 처인구 남사면 봉무리 물류센터 신축공사,제출완료,19.73,3271
20211593,해운대 좌동 1477-2번지 오피스텔 신축공사 지하안전영향평가,제출완료,21.80,3272
20211594,고덕 비즈밸리 자적 1-6블럭 웰킵스사옥 신축공사,제출완료,19.67,3273
20211595,남일~보은1 도로건설공사,사업 등록 완료,20.00,3274
20211596,남일~보은1 도로건설공사,제출완료,20.00,3275
20211599,"인천광역시 서구 청라동 97-1번지(C4-2-1BL) 업무시설(오피스텔), 근린생활시설 지하안전영향평가 ",제출완료,32.66,3276
20211600,구립장애인종합복지관 신축공사,제출완료,14.83,3277
20211601,남동구 논현동 남동근린공원 내 지하주차장,제출완료,11.57,3278
20211602,서초동 1593-13 오피스텔  신축공사,제출완료,40.13,3279
20211603,예광감리교회 신축공사,정보수정중,19.53,3280
20211604,인천 원당동 810-10 일원 공동주택 신축공사,제출완료,25.67,3281
20211605,대치동 988-1번지 신축공사,제출완료,19.85,3282
20211606,음식물류폐기물 광역화처리시설 설치사업 지하안전영향평가 용역,제출완료,25.95,3283
20211607,지산동 1186-12번지 ○○아파트 신축공사,제출완료,11.67,3284
20211608,울산역 KTX S3부지 개발사업 신축공사,제출완료,19.01,3285
20211609,과천지식정보타운 상2블록 복합시설 신축공사,제출완료,27.96,3286
20211610,시흥시 MTV 공원 오피스텔 신축공사 ,제출완료,16.54,3287
20211611,의왕시 왕곡동 주거복합시설 신축공사,제출완료,17.46,3288
20211613,수원시 고색동 1181-3번지 근린생활시설 신축공사,제출완료,19.60,3289
20211615,오산동 881-1 주상복합 신축공사 지하안전영향평가,제출완료,22.67,3290
20211616,신흥시장 공영주차장 조성사업,제출완료,11.41,3291
20211617,이천 설성면 행죽리 44-7번지 물류창고 신축공사,제출완료,13.25,3292
20211618,창원 대상공원 특례사업지구 공동주택 신축공사,제출완료,26.10,3293
20211619,울산 울주군 상북면 상북지구 공동주택 신축공사,제출완료,16.55,3294
20211621,화성시 병점복합단지 상15-2블럭 근린생활시설 신축공사,제출완료,18.85,3295
20211622,진주 주약동 183-1외 4필지 주상복합 신축공사,제출완료,22.81,3296
20211623,만안구 안양동 오피스텔 신축공사,제출완료,18.96,3297
20211624,용인시 처인구 전대리 공동주택 신축공사,제출완료,11.40,3298
20211625,평택시 평택동 45-1 주거복합 신축공사,제출완료,22.96,3299
