evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00017000002,호계온천 주변지구 주택재개발 정비사업(소규모 지하안전영향평가),328137.00,13.50,0.00,20180629,20190627,49000.00,진행중,32351,1
E00010000007,속초시 조양동 1111-1 생활숙박시설 신축공사 소규모 지하안전영향평가,9800.00,19.53,0.00,20180813,20180907,50380.00,진행중,2619,1
E00102000002,군포 당동 주상복합 신축공사,30000.00,16.53,0.00,20180727,20181205,31900.00,진행중,17174,1
E00038000004,부산 서면 드림아파트 신축공사 소규모 지하안전영향평가,83800.00,19.00,0.00,20180704,20180729,27000.00,진행중,0,1
E00093000001,송산그린시티 폴리프라자1 신축공사 소규모 지하안전영향평가용역,10300.00,13.68,0.00,20180625,20181024,33000.00,진행중,65613,1
E00163000001,수암동 500-1번지 주상복합 신축공사,900.00,12.76,0.00,20180712,20180831,45100.00,진행중,7515,1
E00143000001,고양시 원흥동 634-4번지 신축공사 소규모지하안전영향평가,13000.00,12.87,0.00,20180503,20180529,38500.00,진행중,805,1
E00031000004,대구국가산단 A2-1블록 공동주택 건립에 따른 소규모지하안전영향평가용역,135334.00,14.70,0.00,20180402,20181031,71500.00,진행중,43150,1
E00017000003,김포시 구래동 6871-57 근생 및 오피스텔 신축공사 소규모지하안전영향평가,9900.00,18.36,0.00,20180501,20180831,51700.00,진행중,14437,1
E00024000002,안양 냉천지구 주거환경개선사업,444900.00,14.50,0.00,20180531,20190208,80375.00,진행중,308661,1
E00023000002,궁내동 256-16 자동차 관련시설 신축공사 소규모지하안전영향평가,4000.00,13.60,0.00,20180704,20180914,30000.00,진행중,1276,1
E00027000003,부산 수영구 민락동 D7-10~12 복합시설 개발계획,158000.00,18.21,0.00,20180425,20180727,146300.00,진행중,6054,1
E00043000003,김포한강신도시 MS-10-2BL 신축공사,21050.00,19.95,0.00,20180604,20181105,51700.00,진행중,1722,1
E00015000003,제주시 이도이동 1066-4번지 일원 지하안전영향평가 용역,34000.00,19.40,0.00,20180523,20180921,28600.00,진행중,14464,1
E00004000001,블루오션 별내 지식산업센터 신축공사,16044.00,17.26,0.00,20180329,20180703,47300.00,진행중,14655,1
E00101000001,먹골역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(37공구),2246.00,12.00,0.00,20180524,20181023,32967.00,진행중,184,1
E00004000002,블루오션한강 지식산업센터 신축공사,39108.00,19.06,0.00,20180401,20180831,47300.00,진행중,38179,1
E00023000003,성남시 수정구 신흥동 2506-1번지 오피스텔 신축공사에 따른 소규모지하안전영향평가,8717.00,17.06,0.00,20180709,20180820,31350.00,진행중,493,1
E00126000002,광명사거리역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(34공구),2000.00,11.00,0.00,20180523,20180920,32927.00,진행중,266,1
E00112000002,아산 탕정지구 5-1-1BL 업무 및 근린생활시설 신축공사 소규모 지하안전영향평가,34000.00,19.80,0.00,20180725,20180930,55000.00,진행중,21700,1
E00120000001,용인 처인구 역북동 746번지 중 소규모 지하안전영향평가,13000.00,18.60,0.00,20180611,20180910,44000.00,진행중,1549,1
E00023000004,상대원동 145-3번지 지식산업센터 신축공사에 따른 소규모지하안전영향평가,88500.00,18.56,0.00,20180823,20181003,38500.00,진행중,13104,1
E00112000003,월곡배수지 건설공사(2단계) 소규모 지하안전영향평가 용역,54.00,17.25,0.00,20180725,20181008,54808.00,진행중,6948,1
E00010000008,강서구 화곡동 1111번지 외 1필지 주상복합건물 신축공사,50000.00,19.00,0.00,20180801,20180831,50000.00,진행중,1398,1
E00148000001,김포신곡6지구 준주거용지(S1-2BL) 지하안전영향평가 용역,24000.00,12.26,0.00,20180625,20180816,16500000.00,진행중,1789,1
E00076000002,속초 삼성홈프레스티지 4차 신축공사 소규모지하안전영향평가용역,69682.00,17.91,0.00,20180604,20181031,82500.00,진행중,1948,1
E00014000002,노형동 904-1 생활형숙박시설 신축공사,80000.00,15.20,0.00,20180813,20181017,29700.00,진행중,1029,1
E00045000001,이천 마장지구 근린생활시설 신축공사,16000.00,16.71,0.00,20180831,20181011,49500.00,진행중,928,1
E00004000003,블루오션 미사 지식산업센터 신축공사,19953.00,18.70,0.00,20180329,20181004,43000.00,진행중,2381,1
E00006000002,부산국제아트센터 지하안전영향평가수립용역,91235.00,12.20,0.00,20180417,20181127,47225.00,진행중,29408,1
E00163000003,소규모 지하안전영향평가 용역[동탄2 제 14중 이음터],21000.00,13.74,0.00,20180809,20181007,41510.00,진행중,3250,1
E00106000001,중원구 여수동 190번지 근린생활시설 신축공사,23500.00,16.86,0.00,20180917,20181030,44000.00,진행중,453,1
E00119000001,부산광역시 부산진구 부암동 304-14번지 일원 주상복합 신축공사 지하안전영향평가,69400.00,14.90,0.00,20180725,20181022,31130.00,진행중,20265,1
E00075000003,서울시 효제동 167외 1필지 오피스텔 신축공사 소규모 지하안전영향평가,2000.00,15.00,0.00,20180831,20201215,74800.00,진행중,5954,1
E00066000001,성남중1구역 도시환경정비사업 소규모지하안전영향평가,750000.00,19.44,0.00,20180702,20181105,71500.00,진행중,67233,1
E00102000003,KB국민은행 이태원 지점 개발사업,7164.00,14.62,0.00,20180615,20190219,42900.00,진행중,942,1
E00186000001,단대오거리역 승강편의시설 설치공사 소규모 지하안전영향평가 용역(35공구),2700.00,11.24,0.00,20180605,20181031,31397.00,진행중,116,1
E00031000005,달서구 죽전동 주거복합 신축공사에 따른 소규모지하안전영향평가,57000.00,17.60,0.00,20180510,20180920,49500.00,진행중,3698,1
E00009000007,감삼동 파이오니아 주상복합 신축공사 중 소규모 지하안전영향평가,139000.00,19.83,0.00,20180716,20181112,49500.00,진행중,7265,1
E00098000001,홍도동1구역 주택재건축정비사업 소규모 지하안전영향평가 용역,7000.00,11.45,0.00,20180906,20190619,44000.00,진행중,15348,1
E00181000001,속초시 청학동 도시형생활주택 신축공사 소규모지하안전영향평가,43866.00,16.60,0.00,20180807,20181005,40700.00,진행중,1385,1
E00100000001,장미구역 주택재건축 정비사업 지하안전영향평가(소규모),141230.00,13.06,0.00,20180711,20181127,16170.00,진행중,29993,1
E00045000002,고촌읍 신곡리 532-124 번지 근린생활시설 및 업무시설 신축공사,50000.00,19.60,0.00,20180629,20181031,49500.00,진행중,1232,1
E00080000001,포남동1117번지외4필지 주상복합 신축공사 소규모지하안전영향평가,115791.00,16.58,0.00,20180915,20181115,55000.00,진행중,48603,1
E00117000001,롯데인재개발원 오산캠퍼스 리빌딩 소규모 지하안전영향평가,130000.00,15.80,0.00,20181029,20190430,56100.00,진행중,59461,1
E00031000006,수성 알파시티 지식산업센터 신축공사 소규모지하안전영향평가,37000.00,15.00,0.00,20180713,20181212,55000.00,진행중,5848,1
E00002000002,안중계통 송수관로 복선화매설공사 소규모 지하안전영향평가 용역,5300.00,11.47,0.00,20180608,20181124,44850.00,진행중,70,1
E00149000002,아산 배방읍 장재리 1717 복합시설 신축공사,40000.00,19.40,0.00,20180620,20181106,48400.00,진행중,2224,1
E00169000001,성북동미술관 신축공사 소규모지하안전영향평가,17810.00,19.76,0.00,20181001,20181116,38000.00,진행중,2935,1
E00193000001,덕진동 미르오피스텔 신축공사 지하안전영향평가,23500.00,13.80,0.00,20180618,20181018,484000.00,진행중,2268,1
E00146000002,창원중앙역세권 업무1-4 000신축공사 소규모지하안전영향평가,18500.00,17.31,0.00,20180917,20181231,34100.00,진행중,1918,1
E00184000001,덕천 2구역 주택재건축 정비사업 중 소규모 지하안전영향평가용역,174500.00,11.70,0.00,20181001,20181123,49500.00,승인완료,23000,1
E00019000002,양산시 북부동 00주거복합 신축공사 소규모지하안전영향평가,45000.00,19.85,0.00,20180904,20181112,30800.00,진행중,2436,1
E00022000003,과천지식정보타운 S6BL 공동주택 건설공사,446227.00,15.11,0.00,20180716,20181017,60500.00,진행중,30445,1
E00083000001,울산광역시 무거동 856-5번지 외 6필지 근린생활시설 및 업무시설 신축공사,71206.00,16730.00,0.00,20180814,20180913,40000.00,진행중,1659,1
E00198000001,평택 고덕택지지구 일상3-1-1 신축공사,30000.00,19.05,0.00,20180611,20181030,41800.00,진행중,1450,1
E00198000002,진건 상업 4-1-1 신축공사,31000.00,19.55,0.00,20180524,20181030,38500.00,진행중,1774,1
E00082000001,월계동 업무시설 및 근린생활시설 신축공사,55373.00,18.00,0.00,20180630,20181231,7000.00,진행중,1396,1
E00198000003,"진건 상업 3-4-1,2 신축공사",75000.00,19.31,0.00,20180518,20181030,38500.00,진행중,1946,1
E00198000004,진건 상업 3-8-2 신축공사 소규모 지하안전영향평가,30000.00,19.96,0.00,20180518,20181116,38500.00,진행중,774,1
E00010000009,속초시 조양동 1111-1 생활숙박시설 신축공사,90000.00,19.33,0.00,20180813,20181130,50380.00,진행중,2412,1
E00158000001,진주시 칠암동 490-1 근린생활시설 신축공사 소규모 지하안전영향평가,43000.00,16.50,0.00,20181105,20181206,48400.00,진행중,2012,1
E00165000002,서대구 산업단지 복합지식산업센터 소규모 지하안전영향평가,67256.00,16.00,0.00,20180927,20181130,49720.00,진행중,4287,1
E00031000007,금포지구 우신미가뷰 1단지 공동주택 소규모지하안전영향평가 등 용역,164200.00,19.00,0.00,20180531,20190108,63800.00,진행중,24495,1
E00199000001,대저1 자연재해위험개선지구 정비사업(사덕배수펌프장) 소규모 지하안전영향평가 수립용역,48374.00,13.00,0.00,20180521,20181231,31410.00,진행중,1875,1
E00006000005,명지지구 상 17-1 근린생활시설 및 오피스텔(소규모),71000.00,19.40,0.00,20181025,20181207,55000.00,진행중,2918,1
E00083000002,김천시 율곡동 복합시설 신축공사,50800.00,14.15,0.00,20180918,20181207,45000.00,진행중,2271,1
E00071000001,김해 어방동 485-3번지외3필지 퍼스트클래스오피스텔신축공사,7500.00,1735.00,0.00,20180510,20180914,70160.00,작성중,505,1
E00199000002,해운대구 중동 1270-1번지일원 오피스텔 신축공사 소규모지하안전영향평가 용역,80000.00,19.10,0.00,20180817,20190131,48400.00,진행중,1185,1
E00102000005,동덕여자대학교 청담동 동신빌딩 신축공사 중 지하안전영향평가,10000.00,17.36,0.00,20180716,20180930,19800.00,진행중,990,1
E00102000006,의정부동 00주상복합 신축공사 소규모지하안전영향평가 용역,37500.00,14.56,0.00,20180601,20180930,48620.00,진행중,2195,1
E00102000007,청담동 115-6외 4필지 신축공사 중 소규모지하안전영향평가 용역,21000.00,19.56,0.00,20180601,20181214,64900.00,진행중,3518,1
E00102000008,성본산업단지 공공폐수처리시설 설치공사 중 지하안전영향평가용역,34204.00,17.24,0.00,20180711,20180930,38500.00,진행중,3700,1
E00102000009,김포시 고촌읍 00교회 신축공사 중 소규모지하안전영향평가 용역,8000.00,15.60,0.00,20180824,20190222,46750.00,진행중,1873,1
E00025000002,역삼동 주상복합 신축공사 소규모 지하안전영향평가,50000.00,19.50,0.00,20180424,20180813,55000.00,진행중,724,1
E00047000005,여수시 웅천동 1876-1번지 일원 생활숙박시설 신축공사,40000.00,16.80,0.00,20181004,20181109,66000.00,진행중,1924,1
E00200000001,"분당중앙교회 현황측량, 지반조사 및 소규모 지하안전영향평가용역",9000.00,19.38,0.00,20180914,20190430,69300.00,진행중,1200,1
E00045000003,강릉 주문진 생활형 숙박시설,92088.00,18.61,0.00,20180914,20181226,38500.00,진행중,62470,1
E00083000003,울산광역시 울주군 삼남면 신화리 코업레지던스호텔 신축공사,22000.00,18.04,0.00,20180920,20181022,55000.00,진행중,13882800,1
E00205000001,전주 덕진동 오피스텔 신축공사 소규모지하안전영향평가서,60500.00,19.90,0.00,20180814,20181001,40000.00,진행중,14308,1
E00141000001,송파구 방이동 근생 및 업무시설(오피스텔) 신축공사,60000.00,19.74,0.00,20180430,20180806,44000.00,진행중,558,1
E00131000002,"인천 송도동 21-14,15,22,23번지 근린생활시설 신축공사",19000.00,14.06,0.00,20181108,20181226,33000.00,진행중,23552,1
E00102000011,삼성동 20-5 근린생활시설 신축공사 소규모지하안전영향평가,12000.00,15.71,0.00,20180430,20181231,42900.00,진행중,126840,1
E00205000002,농성동 417-22 외 7필지 000 주상복합 신축공사,62000.00,10.16,0.00,20180719,20181017,40000.00,진행중,4057,1
E00149000003,천안시 서북구 불당동 1485번지 복합상업시설 신축공사,120000.00,16.30,0.00,20181018,20190104,47250.00,진행중,6629,1
E00102000012,"방이동 업무시설(오피스텔), 근린생활시설 신축공사 소규모지하안전영향평가가",22000.00,15.93,0.00,20180620,20180908,35200.00,진행중,372,1
E00102000013,강남구 개포동 오피스텔 신축공사 소규모지하안전영향평가,3000.00,19.00,0.00,20180326,20180717,46200.00,진행중,390,1
E00102000014,"이태원동 181-20, 181-32번지 근린생활시설 신축공사 중 지하안전영향평가 용역",4000.00,13.05,0.00,20180411,20190109,50600.00,진행중,1178,1
E00094000001,백석대학교 서울캠퍼스 교육연구시설(가칭) 신축공사 지하안전영향평가,20000.00,15.00,0.00,20180227,20180610,59400.00,진행중,842,1
E00212000001,#2 SPM Construction Project 소규모 지하안전영향평가,164300.00,15.76,0.00,20181029,20181130,22000.00,진행중,56,1
E00215000001,수성구 욱수동 공동주택 신축공사,366632.00,13.30,0.00,20181214,20190107,63800.00,진행중,35554,1
E00013000004,덕신 디비홀딩스 신축공사,600.00,13.64,0.00,20180801,20180914,33000.00,진행중,11800,1
E00193000002,광주전남 빛그린 산업단지 공공폐수처리시설 건설공사 소규모 지하안전영향평가용역,13700.00,13.30,0.00,20180927,20181231,31161.00,진행중,22502,1
E00014000003,오설록 티 뮤지엄 증축 개발사업,26000.00,12.44,0.00,20181205,20190103,46530.00,진행중,0,1
E00105000005,군포첨단산업단지내 지식산업센터 신축공사(지하안전영향평가),49983.00,19.15,0.00,20180709,20190329,41800.00,진행중,5620,1
E00019000003,연제구 연산동 00빌딩 신축공사 소규모지하안전영향평가,5000.00,13.95,0.00,20180815,20181130,55000.00,진행중,309,1
E00003000003,디센터1976지식산업센터 조성사업 소규모지하안전영향평가,155000.00,14.00,0.00,20180205,20180626,77000.00,진행중,12157,1
E00121000001,부천문화예술회관 건립공사 소규모지하안전영향평가,1033.00,14.00,0.00,20180712,20190121,33710.00,진행중,25658,1
E00102000015,수원시 고등동 오피스텔 신축공사 중 소규모지하안전영향평가 용역,35000.00,18.04,0.00,20180716,20190215,33000.00,진행중,1438,1
E00159000001,충장배전스테이션 신축공사 소규모지하안전영향평가(보완),5000.00,18.60,0.00,20180517,20190108,34211.00,진행중,242,1
E00025000003,미단시티 골든드래곤타워 신축공사 소규모 지하안전영향평가,3000.00,19.96,0.00,20180419,20180911,49500.00,진행중,1505,1
E00083000004,울산광역시 남구 야음동(깨밭골) 지역주택조합아파트 신축공사,273995.00,13.85,0.00,20180831,20181210,47000.00,진행중,25788,1
E00031000008,공공지원 민간임대주택 B 단지 신축공사 설계용역 (소규모 지하안전영향평가),73975.00,18.14,0.00,20181128,20191015,29700.00,진행중,2836,1
E00031000009,공공지원 민간임대주택 A 단지 신축공사 설계용역 (소규모 지하안전영향평가),39097.00,13.48,0.00,20181128,20191015,29700.00,진행중,1618,1
E00137000001,광주광역시 광산구 신가동 공동주택 신축공사,220255.00,14.80,0.00,20181001,20190131,13200.00,진행중,44809,1
E00006000006,"거제시 고현동 1100-3번지(변경,취소)",11000.00,13.90,0.00,20181106,20190131,45000.00,작성중,355,1
E00006000007,남산1구역 주택재건축 정비사업 소규모 지하안전영향평가,85826.00,12.25,0.00,20180914,20190213,44000.00,진행중,2621,1
E00097000002,다사읍 매곡리 주거복합 신축공사 소규모 지하안전영향평가,279600.00,12.31,0.00,20190110,20190310,80000.00,진행중,19514,1
E00142000001,가야동 주상복합 신축공사 소규모지하안전영향평가,153000.00,18.60,0.00,20181001,20181226,88000.00,진행중,14818,1
E00035000004,인천 검단신도시 AB-6BL 공동주택 신축공사 소규모지하안전영향평가,359000.00,10.50,0.00,20180731,20181031,69300.00,진행중,45732,1
E00035000005,청주시 봉명동 주상복합 신축공사 소규모지하안전영향평가,11700.00,12.60,0.00,20180608,20180731,37400.00,진행중,1957,1
E00093000002,송산그린시티 폴리프라자 신축공사 소규모 지하안전영향평가용역,9600.00,13.83,0.00,20180321,20180620,33000.00,진행중,2471,1
E00093000003,15446 송산그린시티 더드림프라자 신축공사 소규모 지하안전영향평가용역,5000.00,13.43,0.00,20180329,20180628,33000.00,진행중,2471,1
E00006000008,거제시 고현동 1100-3번지 복합시설 신축공사 소규모 지하안전영향평가,11000.00,13.90,0.00,20181118,20190131,49500.00,진행중,355,1
