evalNo,evalNm,maxDigDepth,proStage,no
E00102000023,중구 중림동 오피스텔 신축공사,37.81,진행중,139
E00228000005,성남시 판교 제2테크노밸리 E5-1BL 신축,22.96,승인완료,140
E00228000007,성남시 판교 제2테크노밸리 E5-1BL 신축,22.96,승인완료,141
E00112000005,성남시 판교 제2테크노밸리 E8-3BL 업무시설 신축,24.15,진행중,142
E00073000001,서울 영등포구 당산동2가 기업형임대주택,29.10,진행중,143
E00023000012,인천 서구 청라동 153-2 C6-2-2BL 근린생활 및 오피스텔,23.64,승인완료,144
E00044000006,인천 서구 청라동 6-3 오피스텔 신축,24.11,진행중,145
E00001000003,인천 경서동 944-1 오피스텔 신축 지하안전영향평가,32.66,진행중,146
E00022000006,인천 중구 운북동 1274-2 오피스텔 신축,28.40,승인완료,147
E00049000004,"안산시 성포동 593-4,5번지 사랑의 병원 증축공사",23.36,진행중,148
E00060000006,안양시 관양동 1591-6번지 Serviced Residence Hotel 신축,26.10,진행중,149
E00054000001,광주도시철도2호선 1단계,36.81,승인완료,150
E00183000002,서울시 강남구 역삼동 635-1 역삼문화공원 지하주차장 건설,22.80,진행중,151
E00141000006,서울시 강남구 역삼동 826번지 복합시설 신축,24.83,진행중,152
E00208000003,안양시 만안구 안양동 668번지 일원 수암천 하천정비사업,21.50,승인완료,153
E00208000002,안양시 만안구 안양동 668번지 일원수암천 하천정비사업,21.50,진행중,154
E00010000013,인천 중구 운서동 3093-7 오피스텔 신축,31.41,승인완료,155
E00228000004,인천시 미추홀구 도화동 377-1번지 외5필지 주상복합 신축,21.19,진행중,156
E10008000002,부천시 중동 1059 오피스텔 신축,36.60,진행중,157
E00096000009,하남시 학암동 산1-1 위례 일상7 오피스텔 근린생활시설 신축,22.83,진행중,158
E00044000010,해운대구 우동 1513 신축공사,34.56,승인완료,159
E00066000015,화성 동탄2택지 일상 11블럭 복합시설 신축,36.00,진행중,160
E00066000016,화성 동탄2택지 일상 12블럭 복합시설 신축,36.05,진행중,161
E00066000017,화성동탄 2신도시 지원시설용지 39BL 지식산업센터 신축공사,21.75,승인완료,162
E00172000001,"청주시 전기공급시설 관로공사(1-1차, 목련로 구간)",21.37,승인완료,163
E00121000022,당진시 송산면 유곡리 생활숙박시설 신축공사,22.87,승인완료,164
E00018000007,대전 유성구 봉명동 442-4번지외 숙박시설 및 근린생활시설 신축공사,22.11,승인완료,165
E00251000006,"남양주 다산진건 상업2 1-3,4 오피스텔",28.04,,166
E00172000002,청주시 전기공급시설 전력구공사 북오송 S/S,21.84,승인완료,167
E00022000014,청라국제도시 상업C-17-1-2블럭,18.08,승인완료,168
E00066000014,청라 국제금융단지 핵심업무시설 A동,23.30,승인완료,169
E00033000002,인천시 중구 중산동 1873-21 영종하늘도시 C7-8-3BL 오피스텔 ,33.38,진행중,170
E00251000010,인천시 중구 운서동 오피스텔 신축공사,20.41,승인완료,171
E00022000011,서울시 강남구 청담동 71-18 외1 동국제약 사옥신축공사,21.09,진행중,172
E00025000007,서울 용산구 문배동 8-5외 6필지 오피스텔 신축공사,33.14,진행중,173
E00154000010,서울시 마포구 동교동 167-13외 복합시설,34.19,승인완료,174
E00154000011,서울시 마포구 동교동 167-24 근린시설,21.40,승인완료,175
E00022000007,서울 강동구 성내동 48-6 천호성내3구역 재개발 사업,34.52,진행중,176
E00055000004,서울 강남구 청담동 87-5 의료센터,29.40,진행중,177
E00009000010,서울 강남구 역삼동 824-17 협진해운 사옥 신축공사,24.62,진행중,178
E00009000011,서울 강남구 역삼동 652-2 업무시설 AMC 신축,28.06,진행중,179
E00143000006,고양시 덕양구 도내동955(상업2-2) 오피스텔 신축공사,26.39,승인완료,180
E00143000005,고양시 도내동 951 오피스텔 신축,25.79,승인완료,181
E00022000012,고양시 원흥지구 상업1-1블럭 오피스텔 신축,26.70,승인완료,182
E00038000018,과천 지식정보타운 지식12블럭 일대 펄어비스 사옥 신축,28.61,승인완료,183
E00185000001,"광교지구 업무4-2BL 복합업무시설, IM CENTER",26.30,진행중,184
E00055000019,광명시 광명12R구역 주택재개발정비사업,33.43,승인완료,185
E00190000015,광명시 소하동 1344(소하지구 지식산업센터신축공사),22.60,승인완료,186
E00133000004,"서울 강남구 삼성동 65-5,65-10 업무시설 신축",27.01,승인완료,187
E00193000004,서울시 서대문구 신촌동 134 일원 연세대 의료원 미래관 신축,47.35,승인완료,188
E00055000015,서울시 서초구 서초동 1497-13번지 대한변리사회관 신축,14.81,승인완료,189
E00001000005,신반포21차아파트 주택재건축정비사업 지하안전영향평가,26.83,진행중,190
E00080000011,서울시 성동구 도선동 101 외1 복합시설 신축,24.16,진행중,191
E00063000009,서울시 성동구 도선동 20 외5 복합건축물 신축,23.69,승인완료,192
E00023000027,하남미사지구 중상3-1BL 근린생활시설 신축공사,22.65,승인완료,193
E00055000012,"하남시 망월동 355-5 일원 미사자족 1-1, 2블럭 지식산업센터",22.35,승인완료,194
E00179000003,세종힘찬병원 신축공사,26.86,승인완료,195
E00038000015,수도권 광역급행철도 A노선 민간투자사업,0.00,진행중,196
E00121000016,수원 호매실 공동주택지구 생활숙박시설 신축공사,22.52,진행중,197
E00030000006,수원시 권선구 서둔동 66번지 자동차매매전시장 신축,23.66,진행중,198
E00002000010,서울 마포구 노고산동 57-50외 신촌역 오피스텔 신축,30.06,승인완료,199
E00025000009,서울 동대문구 청량리역 승강편의시설,14.13,진행중,200
E00030000002,서울 성수구 성수동 322-1 지식산업센터,26.02,승인완료,201
E00198000008,파주시 와동동 1454-2번지(파주시 운정택지개발지구 F1-1-3 근생 및 오피스텔 신축공사),29.58,승인완료,202
E00121000008,"인천시 서구 청라동 96-16, 17 청라 C-4-5, 6 복합시설 신축",33.04,진행중,203
E00121000013,"인천시 서구 청라동 96-16, 17 청라 C-4-5, 6 복합시설 신축[재]",33.04,진행중,204
E10008000003,서울 성동구 성수동1가 656-216외 지식산업센터,22.39,진행중,205
E00190000004,서울 성동구 도선동 15 오피스텔 신축,29.42,승인완료,206
E00094000003,서울 서초구 양재동 224 KCTC 물류복합시설 신축 [재],34.86,진행중,207
E00094000002,서울 서초구 양재동 224 KCTC 물류복합시설 신축,34.86,진행중,208
E00047000009,서울 광진구 화양동 111-85 오피스텔 신축,27.00,승인완료,209
E00143000003,인천시 부평구 부평동 738-43번지 외1필지 개발,27.70,진행중,210
E00144000007,인천시 서구 가정동 루원시티 공동2BL 공동주택 신축,25.76,승인완료,211
E00035000007,서울 광진구 자양1재정비 촉진구역 개발사업,37.60,진행중,212
E00121000021,양주시 광사동 652-5 복합시설 신축,27.88,진행중,213
E00075000008,안양시 호계동 949-9번지 일원 오피스텔 신축,21.96,진행중,214
E00137000003,수원시 권선구 호매실동 1397-1번지 오피스텔 신축,26.71,진행중,215
E00114000007,"수원시 인계동 1035-5,6 근린복합",28.40,진행중,216
E00035000010,신안산선 복선철도 민간투자,0.00,승인완료,217
E00038000022,안산시 고잔동 537-7번지 외1필지 오피스텔 신축,30.21,진행중,218
E00129000002,삼척시 정상동 351 일원 공동주택 신축,26.70,진행중,219
E00228000003,서울 강남구 논현동 202-7 역세권 청년주택 신축,25.90,승인완료,220
E00091000001,서울 강남구 논현동 227-4 논현종합시장 재건축정비사업,23.50,승인완료,221
E00130000006,강릉시 강릉안인화력 송전선로 건설사업,53.20,진행중,222
E00055000027,거제 소동리 오피스텔 신축공사,32.00,승인완료,223
E00038000014,경기 용인시 처인구 포곡읍 전대리 359-2 마리스호텔 신축,27.40,진행중,224
E00189000002,팽성2배수지  건설공사 소규모 지하안전영향평가,16.79,진행중,225
E00046000004,강남구 논현동 164-1외 1필지 업무 및 근린생활시설 지하안전영향평가,25.09,진행중,226
E00136000001,상주지역 전기공급시설 전력구공사 등 2건 지하안전영향평가 용역(상주지역),10.00,진행중,227
E00042000018,김포 고촌 신곡리 헤센 스마트 오피스텔 신축공사 지하안전영향평가,37.77,진행중,228
E00139000008,대전 유성구 봉명동 446-1번지 외 3필지 생활숙박시설 신축공사,25.30,진행중,229
E00188000001,2018  승강편의시설 설치 소규모 지하안전영향평가 대행용역(교대역 등 3역),18.38,진행중,230
E00045000008,서울아산병원증축공사,25.20,진행중,231
E00063000016,고양시 향동지구 상업 5-1블럭 업무시설 지하안전영향평가,25.38,진행중,232
E00063000017,고양시 향동지구 상업 6-1블럭 업무시설 지하안전영향평가,26.19,진행중,233
E00063000018,고양시 향동지구 상업 7-1블럭 업무시설 지하안전영향평가,28.47,진행중,234
E00044000011,영등포구 신길동 3608 번지 일원 역세권 청년주택 신축공사,28.80,진행중,235
E00044000012,해운대 우동 비즈니스 호텔 개발사업,35.06,진행중,236
E00122000004,고양시 향동지구 상업 3-2블럭 복합시설 신축공사,24.02,진행중,237
E00122000005,"고양시 향동지구 상업 4-1,2블럭 복합시설 신축공사",2593.00,진행중,238
E00139000012,천안 업성호수타운 3차 CGV 신축공사,26.50,진행중,239
E00088000010,부천 소사본동 주상복합 신축공사 지하안전영향평가,24.15,진행중,240
E00006000013,양산 석산지역주택조합 아파트 신축에 따른 지하안전영향평가 용역,21.00,진행중,241
E00226000009,대구광역시 신천동 LIVIN TOWER 신축공사,32.40,진행중,242
E00083000008,해운대 중동 오피스텔 신축공사에 따른 지하안전영향평가,27.00,진행중,243
E00136000002,상주지역 전기공급시설 전력구공사 등 2건 지하안전영향평가 용역(포항남구),14.86,진행중,244
E00139000014,유성선병원 신신관 증축공사,25.65,진행중,245
E00141000009,교수회관 후면부지 신축관련 지하안전영향평가,22.96,진행중,246
E00002000016,구로동 103-9 복합빌딩 지하안전영향평가,28.00,진행중,247
E00002000017,삼성동 오피스텔 신축공사 지하안전영향평가,24.00,진행중,248
E00102000037,고려대학교 구로병원 M/P  외래센터동 신축공사,29.32,진행중,249
E00102000038,안양동 395-29 외 4필지 오피스텔 및 공동주택 신축공사,28.36,진행중,250
E00102000039,시흥 은계지구 상업 2-2 오피스텔 신축공사,23.21,진행중,251
E00200000013,위례신도시 일상5 1-2블럭 오피스텔 지반조사 및 지하안전영향평가용역,24.70,진행중,252
E00002000020,"원남동 휴스턴 오피스텔 A,B 신축공사 지하안전영향평가 용역",24.60,진행중,253
E00243000004,종로구 숭인동 1425번지외 5필지 복합시설 신축에 따른 지반조사 및 지하안전영향평가 용역,32.87,작성중,254
E00243000005,인천 청라지구 C17-2-4BL 오피스텔 신축공사 지하안전영향평가 및 지반조사 업무,31.06,작성중,255
E00095000009,검단3구역 도시개발사업 지중화 송전선로 건설공사 지하안전영향평가 용역,24.30,진행중,256
E00095000011,의정부시 의정부동 복합상가 신축공사,28.65,작성중,257
E00001000011,선화2구역 재개발정비사업 지하안전영향평가,25.80,진행중,258
E00190000019,남양주 다산지금 일반상업 3-1BL 오피스텔 신축공사 지하안전영향평가,25.46,진행중,259
E00060000010,대구광역시 만촌동 1039-2 오피스텔 신축공사,31.16,진행중,260
E00038000054,"판교 제2테크노밸리 E9-1,2블록 신축공사 지하안전영향평가(보완)",22.31,진행중,261
E00038000055,"서울시 강남구 역삼동 765-18,28 신축공사 지하안전영향평가(보완)",34.99,진행중,262
E00038000056,제주 중문 복합리조트[숙박시설] 신축사업 지하안전영향평가(보완),2197.00,진행중,263
E00038000057,대구광역시 수성구 복합문화시설 신축공사 지하안전영향평가(보완),25.68,진행중,264
E00038000058,장교구역 12지구 도시환경정비사업 지하안전영향평가(보완),27.40,진행중,265
E00038000059,의왕 고천동 오토갤러리 신축공사 지하안전영향평가(보완),38.58,진행중,266
E00038000061,펄어비스 본사사옥 신축공사 지하안전영향평가(보완),28.61,진행중,267
E00231000003,시화MTV 서해안 우회도로 건설공사 지하안전영향평가(보완) 용역,12.55,진행중,268
