evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00080000002,"여수시 학동 75, 76-5번지 숙박시설 신축공사",42000.00,24.10,0.00,20190405,20190610,132000.00,진행중,16220,1
E00126000003,내당3지구 지역주택조합 주거복합시설 신축공사,454900.00,22.00,0.00,20190501,20190604,162000.00,진행중,25190,1
E00196000004,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 범물-남대구 구간,11414.00,13.00,131.00,20190117,20190913,126722.00,진행중,0,1
E00044000002,다우기술컨소시엄 판교 제2사옥 신축공사,121751.00,26.00,0.00,20181226,20191226,82500.00,진행중,5246,1
E00196000005,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,15163.00,11.00,35.00,20190117,20190919,126722.00,진행중,0,1
E00196000006,경산-수성지역 전기공급시설 전력구공사(자인~시지) 외 2건 지하안전영향평가 용역중 팔달-서침산 구간,8795.00,11.00,35.00,20190117,20190913,126722.00,진행중,39,1
E00193000003,안양동 676-7번지 근린생활시설 신축공사 지하안전영향평가,11500.00,1988.00,0.00,20190405,20190717,0.00,진행중,0,1
E00066000010,대구 진천동 라온프라이빗 주상복합 신축공사 지하안전영향평가,372800.00,26.00,0.00,20190501,20190719,134000.00,진행중,16129,1
E00226000005,본리동 더퍼스트 주거복합 신축공사,1100000.00,20.70,0.00,20190625,20190930,80300.00,진행중,5190,1
E00097000004,범어동 OO주상복합 신축공사 지하안전영향평가 용역,74600.00,24.00,0.00,20190522,20191021,66000.00,진행중,4474,1
E00043000004,세종특별자치시 1-5생활권 C37-3BL 관광호텔 및 근린생활시설 신축공사,36000.00,27.00,0.00,20190411,20190918,110000.00,진행중,286930,1
E00224000001,오산세교 오피스텔  신축공사  소규모지하안전영향평가,40000.00,20.00,0.00,20181201,20190719,36300.00,진행중,1853,1
E00133000003,대구 중구 동인동1가 주상복합 신축공사,270000.00,24.00,0.00,20190610,20211026,77000.00,진행중,15026,1
E00194000001,도남지중화 사업 하천횡단 압입구간 지하안전영향평가 용역,11100.00,19.50,0.00,20190514,20190930,51810.00,진행중,77,1
E00029000001,울산역 복합환승센터주변 기반시설 정비공사 지하안전영향평가 용역,49700.00,19.16,85.00,20190228,20190601,0.00,진행중,0,1
E00047000007,광산구 쌍암동 주상복합 신축공사,209780.00,33.00,0.00,20181201,20190730,110000.00,진행중,0,1
E00184000005,연제구 연산동(1124-25번지) 복합시설 신축공사 지하안전영향평가 용역,45000.00,24.00,0.00,20190901,20191018,66000.00,진행중,1889,1
E00052000009,부산항(북항) 재개발사업지 내 상업·업무지구 D-3블럭 개발사업,644000.00,29.76,0.00,20190501,20190612,66000.00,진행중,13241,1
E00154000017,대구중구 동인동 주거복합 신축공사,330000.00,1965.00,0.00,20190601,20191015,104500.00,진행중,0,1
E00185000002,안골천 우수암거 단면확장공사 지하안전영향평가,6360.00,8.00,51.00,20190717,20191106,40120.00,진행중,370,1
E00029000002,울산역 복합환승센터 주변 기반시설 정비공사 지하안전영향평가,49700.00,19.16,85.00,20190228,,57740.00,진행중,12540,1
E00099000010,동탄2 업무시설 1블록 1로트 업무복합시설 신축공사 지하안전영향평가서,50000.00,27.60,0.00,20190927,20200311,66000.00,진행중,2367,1
E00092000002,화곡동 987-7 외2필지 오피스텔 신축공사 ,11000.00,1360.00,0.00,20191023,,60070.00,진행중,80770,1
E00019000010,신덕배수펌프장(터널) 지하안전영향평가,22508.00,13.00,169.00,20190701,,71381.00,작성중,0,1
E00075000009,인천 검단지구 C5-1-2 오피스텔 신축공사 지하안전영향평가,42700.00,30.19,0.00,20191031,20200715,121000.00,진행중,2380,1
E00055000018,"하남시 망월동 355-5외 미사자족 1-1,2블럭 지식산업센터 [재]",0.00,22.35,0.00,20181010,20190318,0.00,승인완료,22,1
