evalNo,evalNm,maxDigDepth,proStage,no
E00088000019,부천 소사본동 주상복합 신축공사 사후 지하안전영향평가 용역,24.15,진행중,106
E00039000016,SW드림타운 건립공사 사후지하안전영향조사 용역,29.40,진행중,107
E00063000044,남양주시 다산지금 자족 2BL 지식산업센터 신축공사 사후지하안전영향조사용역,24.41,진행중,108
E00190000032,동탄~고덕 연계 열수공관공사 사후지하안전영향조사 보고서,13.30,진행중,109
E00072000006,서울시 광진구 화양동 오피스텔 신축공사 사후지하안전영향조사,24.46,진행중,110
E00066000063,남양주 도농공원 개발행위 특례사업 공동주택 신축공사,23.47,진행중,111
E00066000064,"안양시 만안구 안양동 627-30,32번지 업무복합시설 신축공사",31.24,진행중,112
E10076000001,울산역 복합환승센터 주변 기반시설 정비공사 사후지하안전영향조사 용역,19.16,진행중,113
E00052000013,부산항(북항) 재개발사업지 내 상업·업무지구 D-3블럭 개발사업 사후지하안전영향조사,29.76,진행중,114
E00121000041,"청라국제도시 GC2-2-2, 4BL(인천 청라동 209-2, 3번지) 오피스텔 신축공사",25.72,진행중,115
E00154000036,인천 검단신도시 C8-2-2 근린생활시설 및 오피스텔 신축공사,24.94,진행중,116
E00060000033,안양 Serviced Residence Hotel 복합개발사업,26.10,진행중,117
E00047000062,대구 동구 신암동 주상복합 신축공사,29.74,진행중,118
E00022000044,강남구 논현동 249-9번지 외 1필지 신축공사,26.26,진행중,119
E00043000028,세종시어진동 665 관공호텔 및 근린생활시설신축공사 중 터파기굴토관련 사후지하안전영향조사 용역,27.00,진행중,120
E10080000005,청주지역 전기공급시설 전력구공사(신청주분기) 사후지하안전영향조사 용역,66.00,진행중,121
E00017000048,고양시 원흥동 오피스텔 사후지하안전영향평가 용역,29.09,진행중,122
E00038000098,"판교 제2테크노밸리 E9-1,2 블록 신축공사 사후지하안전영향조사",22.31,진행중,123
E00017000049,음성-진천지역 전력구공사(광혜원-대소) 사후 지하안전영향조사 용역,34.67,진행중,124
E00141000024,서울 동남권지역 전기공급시설 전력구공사(동서울#2~강남 5차),21.89,진행중,125
E10099000001,대구 중구 태평로1가 주상복합 신축공사 사후 지하안전영향조사 용역,23.70,진행중,126
E00106000034,구리 갈매 자족1 지식산업센터 사후지하안전영향조사,26.67,진행중,127
E10092000002,하남 감일 벨솔레파크 신축공사 사후지하안전영향조사,29.41,진행중,128
E00042000036,인천 검단지구 C5-1-2 오피스텔 신축공사 사후지하안전영향조사,30.19,진행중,129
E00066000070,다산 지금지구 자족6BL 지식산업센터 신축공사,21.72,진행중,130
E00098000020,백운-광양항2차 사후지하안전영향조사 용역,15.10,진행중,131
E00023000053,양재역세권 2030 청년주택 신축공사 사후지하안전영향조사 용역,27.33,진행중,132
E10044000022,청주시 오창읍 복합시설 신축공사중 사후지하안전영향조사,24.79,진행중,133
E00098000021,대전 한신더휴 리저브 주상복합 신축공사,25.02,진행중,134
E10086000012,남원시 신정동 1차 공동주택 신축공사 사후지하안전영향조사,28.10,진행중,135
E00114000024,"경기도 수원기 팔달구 인계동 1035-5,6번지 근린복합시설 신축공사",28.40,진행중,136
E00165000008,P3-LINE 전력공동구 사후 지하안전영향평가 조사,27.70,진행중,137
E00143000026,판교 제2테크노밸리(D1-1) 오피스텔 신축공사 중 사후지하안전영향평가 용역,26.51,진행중,138
E10097000005,대구 태평로3가(달성공원역) 주상복합 신축공사 착공후지하안전조사,22.10,진행중,139
E00223000008,"안성-평택지역 전기공급시설 전력구공사(고덕-서안성, 산하리) 사후지하안전영향조사",43.12,진행중,140
E00210000022,대전 선화동 87-5번지 일원 주상복합 신축공사  사후지하안전영향조사,25.21,진행중,141
E00027000029,김포한강신도시 MS-11-3BL 복합시설 신축공사,23.70,진행중,142
E10104000003,경기도 안양시 호계동 949-9번지 일원 오피스텔 신축공사,21.46,진행중,143
E00164000018,노고산동 도시형생활주택 신축공사 사후지하안전영향조사 용역,31.97,진행중,144
E00223000009,연희 공공주택지구 사천 빗물펌프장 토공사 사후지하안전영향조사 용역,22.14,진행중,145
E00126000046,성수동1가13-17외 지식산업센터 신축공사,25.00,진행중,146
E10009000009,서귀포 중문관광단지 하수관로 정비사업,11.54,진행중,147
E00022000050,도곡동 공동주택 신축공사(강남구 도곡동 946-11 외 2필지),28.72,진행중,148
E00022000051,"용인테크노밸리(지원3-9,10)주상복합 신축공사",21.05,진행중,149
E00022000052,해운대 우동 548번지 주거복합시설 신축공사,29.27,진행중,150
E00022000054,경기도 하남시 감일동 151-2번지 하남감일지구 주상복합 신축공사,21.25,진행중,151
E00056000016,고양덕은 도시개발사업지구 업무복합시설 신축공사 사후지하안전영향조사,29.46,진행중,152
E00116000027,서초동 1445-1번지 오피스텔 신축공사,26.40,진행중,153
E00068000003,낭산 배전인출 전력구공사 사후지하안전영향조사 용역,21.07,진행중,154
E00066000077,대구광역시 만촌동 1040-14일원 주상복합 신축공사,24.65,진행중,155
E00022000059,청라국제도시 상업C-17-1-2블럭 오피스텔 신축공사,24.95,진행중,156
E00022000060,"금천구 가산동 60-26,60-40번지 지식산업센터 신축공사 중 착공후지하안전조사",28.20,진행중,157
E10109000001,아난티 캐비넷드 이터널저니 신축공사 ,36.56,진행중,158
E10109000002,KMH 사옥 신축공사 사후 지하안전영향조사 용역,29.37,진행중,159
E00134000045,서울 은평구 은평뉴타운 업무1BL 업무시설 신축공사 사후지하안전영향조사,22.80,진행중,160
E00190000039,구리갈매 자족유통 2BL 신축공사 사후지하안전영향평가 용역,25.30,진행중,161
E00003000008,345kV 신성남~동서울T/L 판교대장지구 지중화 공사 사후지하안전영향조사 용역,51.00,진행중,162
E00106000036,여주 천송동 주상복합시설 신축공사 사후지하안전영향조사,24.50,진행중,163
E10091000006,강원도 양양군 강현면 주청리 생활형 숙박시설 근린생활시설 신축공사 사후지하안전영향조사 용역,23.95,진행중,164
E00198000024,와동동 퍼스트클래스 오피스텔 신축공사 사후 지하안전영향평가,25.15,진행중,165
E00021000016,동탄2신도시 체육 1BL 복합시설 신축공사 (사후지하안전영향평가) ,21.70,진행중,166
E00106000037,양화로 복합시설 신축공사 사후지하안전영향 조사,34.13,진행중,167
E00115000019,서울 중구 황학동 1229번지 외 업무시설 및 근린생활시설 신축공사 사후지하안전영향조사,33.45,진행중,168
E00066000079,고덕비즈밸리 유통판매 1BL 복합시설 신축공사,32.52,진행중,169
E00210000023,현대모비스 의왕 기술연구동 신축공사 사후지하안전영향조사,26.50,진행중,170
E00044000040,몬트레아 한남 오피스텔 신축공사 사후 지하안전영향조사 용역,31.28,진행중,171
E00055000080,인천도시철도1호선 검단연장선 건설공사 사후지하안전영향조사용역,44.38,진행중,172
E00102000118,NC센터 사후 지하안전영향 평가용역,27.30,진행중,173
E00106000038,아산 모종동 562-1 주상복합 신축공사 사후지하안전영향조사,32.96,진행중,174
E00133000050,"고양 원흥지구 상업4-4,5블럭 오피스텔 신축공사",27.23,진행중,175
E00055000083,세운재정비 촉진지구 6-2-24구역 복합시설 신축공사 사후지하안전영향조사용역,29.86,진행중,176
E00062000028,전농동 620 오피스텔 신축공사 사후지하안전영향조사,21.41,진행중,177
E00022000063,이태원동 101-1번지 신축공사,21.61,진행중,178
E00020000023,"덕산~화명 비상연계 노후관 개량공사(6,7공구) 사후지하안전영향조사 용역",10.50,진행중,179
E10086000016,군산시 지곡동 공동주택 신축공사 사후지하안전영향조사,27.00,진행중,180
E00001000043,등촌동 629-1번지 지식산업센터 신축공사 / 사후지하안전영향조사,27.50,진행중,181
E00024000019,"과천지식정보타운 지식기반산업용지 7-1,2블럭 사후지하안전영향조사",25.22,진행중,182
E00243000050,종로구 숭인동 1424번지외 5필지 복합시설 신축에 따른 사후지하안전영향조사 용역,32.87,진행중,183
E00114000026,청라동 96-15번지 복합시설 신축공사에 따른 사후 지하안전영향조사 용역,28.51,진행중,184
E10063000026,고덕국제화지구 복합시설 신축공사 사후지하안전영향조사,21.67,진행중,185
E10091000007,"지축지구 업무 B1-4-1,2 사후지하안전영향조사 용역",22.98,진행중,186
E00083000027,해운대구 중동 1256-9번지 일원 오피스텔 신축공사 사후지하안전영향조사,27.00,진행중,187
E00066000085,"하남미사 자족 1-1, 2BL 지식산업센터 신축공사",22.35,진행중,188
E10051000007,남양주시 금곡동 687-16번지 일원 금곡 행복주택 신축공사,20.76,진행중,189
E00001000044,과천지식정보타운 지식 10BL - 사후지하안전영향조사,22.36,진행중,190
E10008000018,경기도 부천시 신중동역 복합시설 신축공사 사후지하안전영향조사,36.60,진행중,191
E00080000041,"여수 학동 75, 76-5 숙박시설 신축공사",24.10,진행중,192
E00065000039,봉래구역 제1지구 도시환경정비사업 사후지하안전영향평가,26.20,진행중,193
E00239000008,인천 청라 현대 썬앤빌 에코스타 사후 지하안전 영향조사,24.00,진행중,194
E00131000041,"광교신도시 도시지원시설용지 13-4-2,3블럭 지식산업센터 사후지하안전영향조사 용역",27.58,진행중,195
E00247000015,광명의료복합클러스터 조성사업 소하지구 신축공사,24.88,진행중,196
E10097000009,송파 문정동 르피에드 신축공사 사후 지하안전영향평가,36.89,진행중,197
E00022000065,"시흥멀티테크노밸리 위락상업 3-2, 3-4 복합시설 신축공사",28.65,진행중,198
E00035000060,안산시 사사동 물류센터 신축공사 사후지하안전영향조사,30.13,진행중,199
E00098000026,강서구 마곡동 9번지 지식산업센터 신축공사 사후지하안전영향조사 ,25.75,진행중,200
E10091000011,대구 지산동 오피스텔 신축공사 사후지하안전영향조사,33.67,진행중,201
E00249000003,범어 쏠라시티 신축공사 사후지하안전영향조사,32.16,진행중,202
E00108000002,답동성당 일원 관광자원화사업 사후지하안전영향평가 용역,23.65,진행중,203
E00154000044,"검단신도시 근생, 오피스텔 신축공사에 따른 사후지하안전영향조사 (2차)",22.96,진행중,204
E00038000102,삼척시 정상동 351일대 공동주택 신축공사 사후지하안전영향조사,25.00,진행중,205
E10013000007,고덕배수지 송수관로 매설공사 사후지하안전영향조사 용역,15.30,진행중,206
E00009000022,서울 강남구 역삼동 824-17 협진해운 사옥 신축공사 사후지하안전영향조사,24.62,진행중,207
E00005000025,DMC 마스터원 신축공사 사후지하안전영향조사 용역,24.16,진행중,208
E00150000017,BNK부산은행 수영지점 신축공사 사후지하안전영향조사 용역,26.31,진행중,209
E00102000124,KB국민은행 덕천동지점 신축공사,30.39,진행중,210
E10013000008,고덕비즈밸리 자족2-3 00사옥 신축공사 사후지하안전영향조사 용역,25.70,진행중,211
E10063000029,"방이동 47-7, 10번지 신축공사 사후지하안전영향조사",24.60,진행중,212
E00223000010,강일에너지센터 신축공사 사후지하안전영향조사 용역,23.66,진행중,213
E00025000028,수원발 KTX 직결사업 사후지하안전영향조사,21.79,진행중,214
E00066000090,성수동 근생.업무복합시설 신축공사,29.30,진행중,215
E00063000059,용산구 도시형생활주택 신축공사 사후지하안전영향조사 용역,30.21,진행중,216
E00063000060,마포로1구역 제48지구 도시정비형 재개발사업 사후지하안전영향조사 용역,33.39,진행중,217
E00239000009,광주시 도척 물류센타 신축공사,22.81,진행중,218
E00097000013,내당3지구 지역주택조합 주거복합시설 신축공사 사후지하안전영향조사,22.00,진행중,219
E00017000063,판교 제2테크노밸리 산업용지 E2-1 신축공사 “사후지하안전영향조사 용역”,35.11,진행중,220
E00066000092,부천 소사역세권 특별계획구역 내 주상복합 신축공사,32.06,진행중,221
E00121000044,화성동탄 대방 엘리움 일상10BL 주상복합 건설공사,25.95,진행중,222
E00055000085,자양1 재정비촉진구역 도시정비형 재개발사업,37.50,진행중,223
E10075000002,만촌네거리 주거복합 신축공사 사후지하안전영향조사,25.95,진행중,224
E00038000107,펄어비스 사옥 신축공사,28.61,진행중,225
E00190000048,강남구 논현동 164-1외 1필지 업무 및 근린생활시설 신축공사 사후지하안전영향조사 ,25.09,진행중,226
E00005000026,인천광역시 서구 검단지구 C12-4-1 블럭 오피스텔 신축공사 사후지하안전영향조사용역,26.20,진행중,227
E00055000088,군사시설 진입도로 개설사업(3공구),11.00,진행중,228
E00114000027,"인천광역시 서구 청라동 97-1번지 (C4-2-1BL) 업무시설(오피스텔),  근린생활시설 사후지하안전영향조사",32.66,진행중,229
E10008000019,경기도 안산시 단원구 고잔동 540-8번지 사후지하안전영향평가,23.00,진행중,230
E00223000011,인천지역 전기공급시설 전력구공사(동송도-서송도)사후지하안전영향조사,75.00,진행중,231
E00066000094,야탑동 403 물류센터 신축공사,32.68,진행중,232
E00063000062,고양시 향동지구 상업5-1블럭 업무시설 사후지하안전영향조사용역,25.38,진행중,233
E00063000063,고양시 향동지구 상업7-1블럭 업무시설 사후지하안전영향조사 용역,28.47,진행중,234
E00223000012,경기북부지역 전기공급시설 전력구공사(동두천-양주)사후지하안전영향조사,52.00,진행중,235
E00027000036,평택~부여~익산(서부내륙)고속도로  예산군 통과구간 변경설계 터널 사후지하안전영향조사,202.00,진행중,236
E00184000020,연제구 연산동(1124-25번지) 복합시설 신축공사 사후지하안전영향조사 용역,24.30,진행중,237
E00126000053,마곡 MICE 복합단지 특별계획구역 건설사업 CP1BL,33.71,진행중,238
E00248000016,논현동 60번지 외 3필지 주상복합 신축공사,25.28,진행중,239
E00097000015,칠성동 주거복합 신축공사 사후지하안전영향조사,22.02,진행중,240
E00102000131,판교 제2테크노밸리 PSK CAMPUS 신축공사 중 사후 지하안전영향조사,30.86,진행중,241
E00126000055,창동 창업 및 문화산업단지 복합시설 건설사업 ,28.90,진행중,242
E00035000065, 강릉 교동7공원 민간공원조성 특례사업 공동주택 신축공사 ,33.76,진행중,243
E00001000051,동대문구 전농동 620-15 오피스텔 신축공사 사후지하안전영향조사,30.68,진행중,244
E00043000041,역삼동 826번지 복합시설 사후지하안전영향조사 용역,25.00,진행중,245
E00035000066,이천 안흥동 00주상복합 신축공사(1BL) 사후지하안전영향조사 용역,33.50,진행중,246
E00035000067,이천 안흥동 00주상복합 신축공사(2BL) 사후지하안전영향조사 용역,33.50,진행중,247
E00035000068,역삼동 651-2 주거복합시설 신축공사 사후지하안전영향조사,24.91,진행중,248
E00084000022,청주 가경동 1416-1 주상복합 및 청주고속터미널 신축공사 사후지하안전영향조사,40.61,진행중,249
E00133000059,영등포구 여의도동 44-5번지 오피스텔 신축공사,28.00,진행중,250
E10083000009,부산 강서지역 전기공급시설 전력구공사(세산분기)외 3개 공사 사후지하안전영향조사용역(울산 북구지역),37.87,진행중,251
E00047000094,역삼동 831-11번지 외 오피스텔 신축공사,38.06,진행중,252
E00055000091,양양군 강현면 주청리 2-15 외1번지 생활형숙박시설 신축공사,27.71,진행중,253
E00047000095,"서초동 1321-7,8번지 오피스텔 신축공사",35.91,진행중,254
E00133000061,인천광역시 중구 운서동 3094-2번지 오피스텔 신축공사,28.20,진행중,255
E00117000008,동부간선도로(창동 상계)지하차도 사후지하안전영향조사 용역,19.00,진행중,256
E00099000032,동탄2신도시 업무시설 1-1용지 업무복합시설 신축공사중 사후지하안전영향조사,27.60,진행중,257
E00158000002,"원남동 오피스텔 A,B동 사후지하안전영향조사 용역",24.60,진행중,258
E00102000133,고양 삼송지구 업무시설 신축공사,29.10,진행중,259
E00106000043,서울시 용산구 서빙고동 4-153번지(1단계) 사후지하안전영향조사,21.66,진행중,260
E00073000003,영등포 당산동2가 역세권 청년주택 사후지하안전영향조사,30.47,진행중,261
E00095000025,경기신용보증재단 사옥 건립사업 사후지하안전조사용역,29.12,진행중,262
E00066000104,대구광역시 수성구 만촌동 주거복합 신축공사,27.87,진행중,263
E00023000068,인천 부평동 185-51근생 및 문화집회시설 착공후 지하안전조사 용역,26.07,진행중,264
E00210000027,KCC울산 일반산업단지 폐기물처리시설 조성사업 사후지하안전영향조사,22.03,진행중,265
E00099000033,수원덕산병원 신축공사 중 사후지하안전영향조사,23.51,진행중,266
E00134000077,송파구 잠실새내 업무시설 신축공사 중 사후지하안전영향조사,27.57,진행중,267
E00165000011,SDR 신축공사 사후지하안전영향조사,30.70,진행중,268
E00027000037,구리시 수택동 409-25일원 복합시설 신축공사 사후지하안전영향조사 용역,31.16,진행중,269
E00126000057,성수동2가 284-124 지식산업센터 사후지하안전영향조사,27.50,진행중,270
E00154000051,동대문구 이문동 346-121번지 오피스텔 신축공사,26.10,진행중,271
E00038000112,문정역 역세권 청년주택 신축공사 사후지하안전영향조사,29.21,진행중,272
E00247000019,서울특별시  영등포동2가 오피스텔 신축공사,26.47,진행중,273
E00134000081,"대전 도안지구 상업용지 1-1, 2 오피스텔 신축공사 중 사후지하안전영향조사",22.69,진행중,274
E00102000134,당진시 수청동 1048외 1필지 근린생활시설 신축공사,26.73,진행중,275
E00189000012,어코신 여주물류센터 신축공사,31.70,진행중,276
E00112000007,판교 제2테크노밸리 E8-3블럭 업무시설 신축공사 지하안전영향평가 사후지하안전영향조사,23.89,진행중,277
E00043000043,순천향대학교 부속 새병원 사후지하안전영향조사 용역,29.68,진행중,278
E00117000009,지하철 승강편의시설 토목건축공사(C-6공구) 사후지하안전영향 조사 용역,14.43,진행중,279
E00022000075,파트너스 플라자 신축공사,35.86,진행중,280
E00106000044,이천시 안흥동 주상복합 신축공사 사후지하안전영향조사,30.40,진행중,281
E00190000054,검단3구역 도시개발사업  지중화 송전선로 건설사업 사후지하안전영향조사 용역,24.30,진행중,282
E00075000018,강동천호 행복주택 및 공공청사 건설공사 사후지하안전영향조사,25.85,진행중,283
E00030000032,강서구 가양동 449-12 지식산업센터 신축공사,21.30,진행중,284
E00004000026,다우기술 컨소시엄  판교 제2사옥 신축공사 사후 지하안전영향평가 용역,26.00,진행중,285
