saupNo,saupNm,saupClass,groupCd,groupNm,zipNo,addr,staPlanYmd,endPlanYmd,constCost,maxDigDepth,digCapacity,digArea,devCorpNm,proStage,no
20211360,광주 동구 서석동 00오피스텔 신축공사,건축물의 건축,F04082,고운하이스카이(주),61486,"광주광역시 동구 문화전당로26번길 10-1, 외 8필지 (서석동)",20211001,20240131,39500.00,19.88,0.00,0.00,,제출완료,1
20211361,thisisneverthat office building seongsu 신축설계 지하안전영향평가용역,건축물의 건축,F04092,제이케이앤디 주식회사,04798,서울특별시 성동구 성수이로22길 44 (성수동2가),20211201,20231130,12000.00,19.50,0.00,0.00,,사업 등록 완료,1
20211362,천안 서북구 성환읍 성월리 물류센터,도시개발,F04091,마스턴제125호로지스포인트천안피에프브이 주식회사,31022,"충청남도 천안시 서북구 성환읍 성월수향길 97-18, 성월리 262-2번지 일원",20220301,20230630,88000.00,17.81,0.00,0.00,,제출완료,1
20211363,여주시 가남읍 심석리 물류창고(B안) 신축공사,건축물의 건축,F04095,남광토건 주식회사 ,12661,경기도 여주시 가남읍 경충대로 1054,20220501,20240501,96700.00,22.36,0.00,0.00,,제출완료,1
20211364,주례 냉정역 공동주택 신축공사,건축물의 건축,F04093,(주)더블유티개발,47004,부산광역시 사상구 주감로 223-10 (주례동),20220201,20240229,87137.00,16.59,0.00,0.00,(주)더블유티개발,제출완료,1
20211365,성수동2가 277-121외 1필지 업무 및 근린생활시설 신축공사,건축물의 건축,F04092,제이케이앤디 주식회사,04798,서울특별시 성동구 성수이로22길 44 (성수동2가),20211201,20231030,12000.00,19.93,0.00,0.00,,제출완료,1
20211366,낭월 다가온 민간참여 공공주택사업,도시개발,F02282,대전도시공사,34703,대전광역시 동구 산내로 1326 (낭월동),20211130,20240401,32800.00,18.77,0.00,0.00,,제출완료,1
20211367,간석지구 우수저류시설 설치사업,건축물의 건축,F00981,인천광역시 남동구,21549,인천광역시 남동구 경인로 558 (간석동),20220301,20240301,43074.00,13.78,0.00,0.00,,제출완료,1
20211368,도안동 갑천지구 친수구역 일반상업 4-3번지 근린생활 신축공사,건축물의 건축,F04105,대건산업건설(주),34195,"대전광역시 유성구 도안동로 323, 대전 도안 갑천지구 친수구역 상업시설용지 상업4-3(서구 도안동 337-1) (원신흥동)",20211001,20221010,6088.00,17.19,0.00,0.00,,제출완료,1
20211370,중앙공공하수처리장 개량사업 소규모 지하안전영향평가용역,도시개발,F03924,광양시하수도관리자,57793,전라남도 광양시 중마로 60 (중동),20220601,20250201,29584.00,15.25,0.00,0.00,,제출완료,1
20211371,에듀스카이 신축공사,건축물의 건축,F03987,주식회사 에듀스카이,18016,경기도 평택시 고덕면 고덕국제8로 91,20220101,20230331,10300.00,17.13,0.00,0.00,,제출완료,1
20211372,대전시 대덕구 평촌동 물류센터 신축공사,건축물의 건축,F04110,(주)케이알로지스대전제3호피에프브이,34342,대전광역시 대덕구 평촌동 274-4번지 일원(16필지),20211201,20230831,86000.00,15.89,0.00,0.00,,제출완료,1
20211373,음성군 하이텍산업단지 완충저류시설 설치사업 ,도시개발,F04109,음성군청,27650,충청북도 음성군 삼성면 하이텍산단로 39,20211201,20231130,7300.00,11.80,0.00,0.00,,제출완료,1
20211374,용인시 기흥구 영덕동 21-4번지외 2필지 자동차관련시설 신축공사,건축물의 건축,F04112,(주)신동해홀딩스,17095,"경기도 용인시 기흥구 중부대로 234, 영덕동 23-3, 21-4 (영덕동)",20220301,20230101,8200.00,25.21,0.00,0.00,,제출완료,1
